date,USD,JPY,CHF,GBP,EUR
1999-09-06,1.0594,116.3,1.5978,0.6607,1.0
1999-09-07,1.0565,117.44,1.5989,0.6576,1.0
1999-09-08,1.0613,117.49,1.5993,0.6536,1.0
1999-09-09,1.0592,115.36,1.6002,0.6513,1.0
1999-09-10,1.052,115.0,1.6025,0.6463,1.0
1999-09-13,1.0342,109.85,1.6056,0.6407,1.0
1999-09-14,1.0362,110.25,1.6046,0.6468,1.0
1999-09-15,1.0369,107.94,1.6032,0.6462,1.0
1999-09-16,1.0372,108.08,1.6032,0.6416,1.0
1999-09-17,1.0397,110.66,1.6047,0.6423,1.0
1999-09-20,1.0406,112.08,1.6049,0.641,1.0
1999-09-21,1.0388,108.72,1.6048,0.6383,1.0
1999-09-22,1.0509,109.48,1.6024,0.6423,1.0
1999-09-23,1.043,108.45,1.6039,0.639,1.0
1999-09-24,1.0476,109.4,1.6002,0.6374,1.0
1999-09-27,1.0414,109.67,1.6019,0.6327,1.0
1999-09-28,1.0483,111.31,1.6023,0.6362,1.0
1999-09-29,1.0563,112.85,1.6003,0.643,1.0
1999-09-30,1.0665,112.67,1.5967,0.6475,1.0
1999-10-01,1.0728,113.25,1.5985,0.6499,1.0
1999-10-04,1.0719,113.6,1.5915,0.6469,1.0
1999-10-05,1.0686,113.98,1.5932,0.6456,1.0
1999-10-06,1.0737,115.58,1.5907,0.6488,1.0
1999-10-07,1.0729,115.48,1.5924,0.649,1.0
1999-10-08,1.0657,114.55,1.5956,0.6451,1.0
1999-10-11,1.0631,113.42,1.5949,0.6424,1.0
1999-10-12,1.0668,113.45,1.5945,0.6459,1.0
1999-10-13,1.0778,116.24,1.5907,0.6518,1.0
1999-10-14,1.0758,114.95,1.5908,0.6499,1.0
1999-10-15,1.0869,115.15,1.5872,0.6519,1.0
1999-10-18,1.0868,114.23,1.5882,0.6509,1.0
1999-10-19,1.0818,114.3,1.5891,0.6474,1.0
1999-10-20,1.0777,114.44,1.5912,0.646,1.0
1999-10-21,1.0797,114.52,1.5922,0.6446,1.0
1999-10-22,1.0758,113.65,1.5972,0.6426,1.0
1999-10-25,1.0683,112.66,1.598,0.6433,1.0
1999-10-26,1.0633,111.33,1.5989,0.6413,1.0
1999-10-27,1.0552,109.75,1.5995,0.6392,1.0
1999-10-28,1.0534,109.79,1.6023,0.6415,1.0
1999-10-29,1.0453,109.59,1.603,0.6393,1.0
1999-11-01,1.0572,110.23,1.6042,0.6413,1.0
1999-11-02,1.0507,110.12,1.6051,0.6382,1.0
1999-11-03,1.0491,109.17,1.6077,0.6361,1.0
1999-11-04,1.0504,110.0,1.6115,0.6389,1.0
1999-11-05,1.0408,109.79,1.6137,0.6397,1.0
1999-11-08,1.0405,110.36,1.61,0.6412,1.0
1999-11-09,1.0424,109.37,1.6087,0.6415,1.0
1999-11-10,1.0402,109.33,1.6079,0.6416,1.0
1999-11-11,1.0406,109.3,1.6085,0.6414,1.0
1999-11-12,1.0308,108.22,1.6078,0.638,1.0
1999-11-15,1.0301,107.99,1.6057,0.6371,1.0
1999-11-16,1.0336,109.42,1.6047,0.6369,1.0
1999-11-17,1.0408,109.58,1.6015,0.64,1.0
1999-11-18,1.038,109.63,1.602,0.6397,1.0
1999-11-19,1.0279,109.1,1.6032,0.6353,1.0
1999-11-22,1.0311,108.35,1.6029,0.6361,1.0
1999-11-23,1.0315,107.98,1.6009,0.6348,1.0
1999-11-24,1.0215,106.62,1.5997,0.6331,1.0
1999-11-25,1.0194,106.25,1.5999,0.6312,1.0
1999-11-26,1.0101,104.86,1.6012,0.6301,1.0
1999-11-29,1.0077,102.82,1.6029,0.6297,1.0
1999-11-30,1.0097,103.0,1.6021,0.6325,1.0
1999-12-01,1.0091,103.35,1.6007,0.6304,1.0
1999-12-02,1.0057,103.03,1.5999,0.6292,1.0
1999-12-03,1.0015,102.57,1.5967,0.6255,1.0
1999-12-06,1.0182,104.62,1.5969,0.631,1.0
1999-12-07,1.0239,105.05,1.5999,0.6302,1.0
1999-12-08,1.0236,105.32,1.6014,0.6294,1.0
1999-12-09,1.0175,104.4,1.5991,0.6261,1.0
1999-12-10,1.0141,103.81,1.5984,0.6247,1.0
1999-12-13,1.0128,103.95,1.602,0.6238,1.0
1999-12-14,1.0038,104.06,1.6017,0.6215,1.0
1999-12-15,1.0021,103.7,1.6001,0.6241,1.0
1999-12-16,1.0146,104.47,1.6016,0.6286,1.0
1999-12-17,1.0128,104.68,1.6028,0.6287,1.0
1999-12-20,1.0096,103.84,1.6004,0.628,1.0
1999-12-21,1.0084,103.07,1.5994,0.6276,1.0
1999-12-22,1.0074,102.48,1.599,0.6253,1.0
1999-12-23,1.0089,102.52,1.6011,0.6265,1.0
1999-12-24,1.0142,104.29,1.6043,0.6267,1.0
1999-12-27,1.0134,103.75,1.6046,0.6267,1.0
1999-12-28,1.0089,103.13,1.6057,0.6249,1.0
1999-12-29,1.0072,103.02,1.6059,0.6226,1.0
1999-12-30,1.0046,102.73,1.6051,0.6217,1.0
1999-12-31,,,,,1.0
2000-01-03,1.009,102.75,1.6043,0.6246,1.0
2000-01-04,1.0305,105.88,1.6053,0.6296,1.0
2000-01-05,1.0368,107.34,1.606,0.6324,1.0
2000-01-06,1.0388,108.72,1.6068,0.6302,1.0
2000-01-07,1.0284,108.09,1.6079,0.6262,1.0
2000-01-10,1.0229,107.26,1.6089,0.6249,1.0
2000-01-11,1.0256,108.85,1.6093,0.6251,1.0
2000-01-12,1.0308,109.1,1.6098,0.6253,1.0
2000-01-13,1.0276,108.89,1.6111,0.6255,1.0
2000-01-14,1.0225,108.05,1.613,0.6221,1.0
2000-01-17,1.0094,105.81,1.6136,0.618,1.0
2000-01-18,1.0093,106.42,1.6131,0.6174,1.0
2000-01-19,1.0105,106.99,1.612,0.6172,1.0
2000-01-20,1.0089,106.44,1.6147,0.6127,1.0
2000-01-21,1.0097,105.53,1.6102,0.6113,1.0
2000-01-24,1.0027,105.54,1.6136,0.6062,1.0
2000-01-25,1.0008,105.69,1.6121,0.6083,1.0
2000-01-26,1.0019,106.04,1.6116,0.6094,1.0
2000-01-27,0.9976,105.43,1.6113,0.6089,1.0
2000-01-28,0.9848,103.74,1.6121,0.6051,1.0
2000-01-31,0.9791,104.62,1.6091,0.6047,1.0
2000-02-01,0.971,104.62,1.6078,0.602,1.0
2000-02-02,0.9717,105.51,1.6101,0.6051,1.0
2000-02-03,0.9748,105.78,1.6083,0.6086,1.0
2000-02-04,0.9835,105.99,1.6077,0.6195,1.0
2000-02-07,0.9767,106.02,1.6065,0.6134,1.0
2000-02-08,0.9903,107.91,1.6074,0.6182,1.0
2000-02-09,0.9934,108.16,1.6092,0.6169,1.0
2000-02-10,0.9868,107.11,1.606,0.6126,1.0
2000-02-11,0.9801,107.42,1.6056,0.6136,1.0
2000-02-14,0.9867,106.85,1.6066,0.6201,1.0
2000-02-15,0.9778,106.46,1.6061,0.6159,1.0
2000-02-16,0.9804,106.97,1.6036,0.6129,1.0
2000-02-17,0.9919,109.3,1.6042,0.6158,1.0
2000-02-18,0.9857,109.27,1.6032,0.6144,1.0
2000-02-21,0.9857,109.73,1.6031,0.6161,1.0
2000-02-22,1.0022,111.11,1.6072,0.6226,1.0
2000-02-23,1.0068,111.88,1.6105,0.6252,1.0
2000-02-24,0.9898,109.55,1.6101,0.6188,1.0
2000-02-25,0.9813,108.79,1.6083,0.6155,1.0
2000-02-28,0.9639,105.22,1.6064,0.6072,1.0
2000-02-29,0.9714,106.81,1.6067,0.6134,1.0
2000-03-01,0.9667,104.65,1.6066,0.6123,1.0
2000-03-02,0.9725,104.38,1.6075,0.614,1.0
2000-03-03,0.9659,104.17,1.6063,0.6117,1.0
2000-03-06,0.964,103.47,1.6072,0.6111,1.0
2000-03-07,0.9593,103.0,1.6083,0.6096,1.0
2000-03-08,0.9543,102.24,1.6061,0.6043,1.0
2000-03-09,0.9616,102.44,1.6061,0.6086,1.0
2000-03-10,0.9613,102.27,1.6078,0.6095,1.0
2000-03-13,0.9716,102.23,1.6108,0.6146,1.0
2000-03-14,0.962,100.93,1.6114,0.6123,1.0
2000-03-15,0.9647,101.74,1.6115,0.614,1.0
2000-03-16,0.9663,101.73,1.6112,0.6155,1.0
2000-03-17,0.9672,102.31,1.6126,0.6146,1.0
2000-03-20,0.9715,103.71,1.6126,0.6201,1.0
2000-03-21,0.9701,103.46,1.6116,0.6176,1.0
2000-03-22,0.9603,102.88,1.6095,0.6125,1.0
2000-03-23,0.9656,103.88,1.6045,0.6104,1.0
2000-03-24,0.9715,104.09,1.5936,0.6115,1.0
2000-03-27,0.9712,103.77,1.5908,0.6087,1.0
2000-03-28,0.9647,102.59,1.5904,0.6088,1.0
2000-03-29,0.9568,100.77,1.5896,0.6032,1.0
2000-03-30,0.9555,100.35,1.5909,0.601,1.0
2000-03-31,0.9553,98.53,1.5907,0.5985,1.0
2000-04-03,0.9564,100.27,1.5886,0.6,1.0
2000-04-04,0.9538,100.74,1.5817,0.5971,1.0
2000-04-05,0.9673,101.71,1.5732,0.6088,1.0
2000-04-06,0.9625,101.04,1.5725,0.6075,1.0
2000-04-07,0.9564,100.71,1.5727,0.6047,1.0
2000-04-10,0.959,101.92,1.5731,0.6064,1.0
2000-04-11,0.9594,102.61,1.5718,0.6055,1.0
2000-04-12,0.9576,101.11,1.5745,0.6038,1.0
2000-04-13,0.9537,101.09,1.5738,0.5999,1.0
2000-04-14,0.954,100.86,1.5737,0.6016,1.0
2000-04-17,0.9573,99.4,1.5686,0.6026,1.0
2000-04-18,0.9497,98.97,1.571,0.6003,1.0
2000-04-19,0.9461,98.79,1.5748,0.5983,1.0
2000-04-20,0.9376,98.37,1.5727,0.5934,1.0
2000-04-21,,,,,1.0
2000-04-24,,,,,1.0
2000-04-25,0.9302,98.15,1.5712,0.5896,1.0
2000-04-26,0.9193,97.85,1.5721,0.5827,1.0
2000-04-27,0.9163,97.57,1.5742,0.5827,1.0
2000-04-28,0.9085,97.48,1.571,0.5794,1.0
2000-05-01,,,,,1.0
2000-05-02,0.9116,99.15,1.5599,0.5827,1.0
2000-05-03,0.8913,97.46,1.5411,0.5711,1.0
2000-05-04,0.8947,97.35,1.5472,0.5818,1.0
2000-05-05,0.8984,97.21,1.5467,0.5838,1.0
2000-05-08,0.8952,97.17,1.5494,0.5851,1.0
2000-05-09,0.8978,98.25,1.5481,0.5847,1.0
2000-05-10,0.9107,99.13,1.5604,0.5976,1.0
2000-05-11,0.9079,98.53,1.5559,0.6051,1.0
2000-05-12,0.9029,98.01,1.5528,0.596,1.0
2000-05-15,0.9147,100.07,1.5554,0.6045,1.0
2000-05-16,0.9065,98.89,1.5525,0.6045,1.0
2000-05-17,0.8922,97.98,1.5488,0.5987,1.0
2000-05-18,0.8942,97.6,1.5534,0.6039,1.0
2000-05-19,0.8875,95.69,1.5512,0.5988,1.0
2000-05-22,0.9,96.57,1.5527,0.605,1.0
2000-05-23,0.9111,97.3,1.5632,0.6151,1.0
2000-05-24,0.9098,97.58,1.5641,0.6165,1.0
2000-05-25,0.8981,96.81,1.5575,0.61,1.0
2000-05-26,0.9143,98.22,1.5642,0.6209,1.0
2000-05-29,0.9262,99.32,1.5677,0.6223,1.0
2000-05-30,0.9359,99.8,1.5718,0.6226,1.0
2000-05-31,0.9303,99.9,1.5716,0.6225,1.0
2000-06-01,0.933,101.41,1.574,0.624,1.0
2000-06-02,0.9355,101.62,1.5729,0.6251,1.0
2000-06-05,0.9433,101.51,1.5734,0.623,1.0
2000-06-06,0.9485,101.24,1.574,0.6264,1.0
2000-06-07,0.9554,101.0,1.5676,0.6276,1.0
2000-06-08,0.9668,102.12,1.5664,0.6359,1.0
2000-06-09,0.949,101.42,1.5661,0.631,1.0
2000-06-12,0.9527,101.55,1.5624,0.6303,1.0
2000-06-13,0.9583,102.05,1.5628,0.633,1.0
2000-06-14,0.9636,102.52,1.5651,0.6402,1.0
2000-06-15,0.9524,100.92,1.5648,0.6316,1.0
2000-06-16,0.9565,101.65,1.5611,0.6329,1.0
2000-06-19,0.964,101.86,1.5618,0.6373,1.0
2000-06-20,0.9538,100.62,1.5577,0.6326,1.0
2000-06-21,0.947,99.76,1.5522,0.6307,1.0
2000-06-22,0.9405,99.1,1.5451,0.6244,1.0
2000-06-23,0.9413,98.12,1.5521,0.625,1.0
2000-06-26,0.9327,98.38,1.5478,0.6215,1.0
2000-06-27,0.9401,99.16,1.5486,0.6281,1.0
2000-06-28,0.9415,99.56,1.5479,0.6253,1.0
2000-06-29,0.9504,99.56,1.5558,0.6257,1.0
2000-06-30,0.9556,100.57,1.5576,0.6323,1.0
2000-07-03,0.9493,100.58,1.5551,0.6281,1.0
2000-07-04,0.9487,100.78,1.5528,0.6271,1.0
2000-07-05,0.9537,101.73,1.5532,0.6313,1.0
2000-07-06,0.9542,102.44,1.5484,0.631,1.0
2000-07-07,0.9483,101.86,1.5458,0.6278,1.0
2000-07-10,0.9523,101.82,1.5461,0.628,1.0
2000-07-11,0.9527,101.77,1.5516,0.63,1.0
2000-07-12,0.9499,102.29,1.5523,0.627,1.0
2000-07-13,0.9349,100.12,1.5532,0.6224,1.0
2000-07-14,0.9344,100.82,1.5476,0.6227,1.0
2000-07-17,0.9352,101.65,1.5465,0.627,1.0
2000-07-18,0.9353,100.93,1.5502,0.6241,1.0
2000-07-19,0.9216,99.6,1.5473,0.6156,1.0
2000-07-20,0.922,99.74,1.5488,0.6165,1.0
2000-07-21,0.9363,101.53,1.5511,0.6185,1.0
2000-07-24,0.9332,101.64,1.5555,0.6151,1.0
2000-07-25,0.941,102.78,1.5538,0.6201,1.0
2000-07-26,0.939,102.43,1.5519,0.6189,1.0
2000-07-27,0.9389,102.26,1.5531,0.6198,1.0
2000-07-28,0.9276,101.29,1.5486,0.615,1.0
2000-07-31,0.9243,101.04,1.5477,0.6179,1.0
2000-08-01,0.9264,101.56,1.546,0.6172,1.0
2000-08-02,0.9142,99.8,1.5449,0.6143,1.0
2000-08-03,0.9028,97.85,1.5425,0.607,1.0
2000-08-04,0.9031,98.02,1.5464,0.6008,1.0
2000-08-07,0.9084,98.85,1.5474,0.6032,1.0
2000-08-08,0.9047,98.2,1.544,0.5996,1.0
2000-08-09,0.8973,96.81,1.5443,0.5978,1.0
2000-08-10,0.9031,97.93,1.5449,0.6018,1.0
2000-08-11,0.9132,99.31,1.5531,0.6061,1.0
2000-08-14,0.9011,98.58,1.5541,0.5984,1.0
2000-08-15,0.9118,99.78,1.5591,0.6059,1.0
2000-08-16,0.9072,98.45,1.559,0.6052,1.0
2000-08-17,0.914,99.12,1.5629,0.6096,1.0
2000-08-18,0.9127,99.42,1.5622,0.6099,1.0
2000-08-21,0.9023,97.63,1.5598,0.6051,1.0
2000-08-22,0.8972,97.27,1.5608,0.6038,1.0
2000-08-23,0.8918,95.7,1.5525,0.6027,1.0
2000-08-24,0.9012,96.64,1.5489,0.6087,1.0
2000-08-25,0.9021,96.61,1.5453,0.6122,1.0
2000-08-28,0.9007,95.88,1.5437,0.612,1.0
2000-08-29,0.8965,95.44,1.5447,0.6139,1.0
2000-08-30,0.8909,94.8,1.5483,0.6148,1.0
2000-08-31,0.8906,94.77,1.5498,0.6132,1.0
2000-09-01,0.8902,94.77,1.55,0.6135,1.0
2000-09-04,0.9,95.12,1.5532,0.6154,1.0
2000-09-05,0.8886,94.18,1.549,0.6124,1.0
2000-09-06,0.8818,93.27,1.5482,0.6087,1.0
2000-09-07,0.8676,91.21,1.5468,0.6047,1.0
2000-09-08,0.8735,92.25,1.549,0.6124,1.0
2000-09-11,0.8609,91.35,1.5298,0.6078,1.0
2000-09-12,0.8614,91.55,1.5218,0.6145,1.0
2000-09-13,0.8654,92.83,1.5286,0.6142,1.0
2000-09-14,0.8693,93.15,1.5265,0.6133,1.0
2000-09-15,0.8615,92.64,1.5278,0.6125,1.0
2000-09-18,0.8526,91.1,1.5235,0.6096,1.0
2000-09-19,0.8541,91.31,1.52,0.6084,1.0
2000-09-20,0.8476,90.3,1.5123,0.5989,1.0
2000-09-21,0.8524,90.72,1.51,0.6004,1.0
2000-09-22,0.889,95.75,1.5318,0.6063,1.0
2000-09-25,0.877,94.37,1.5221,0.6028,1.0
2000-09-26,0.8757,93.95,1.5188,0.6028,1.0
2000-09-27,0.8861,95.49,1.5254,0.6045,1.0
2000-09-28,0.8832,94.98,1.5257,0.6025,1.0
2000-09-29,0.8765,94.94,1.524,0.5967,1.0
2000-10-02,0.8802,95.49,1.5237,0.5991,1.0
2000-10-03,0.8763,95.14,1.517,0.6006,1.0
2000-10-04,0.873,95.31,1.5155,0.6003,1.0
2000-10-05,0.8786,95.95,1.5228,0.6027,1.0
2000-10-06,0.8703,94.82,1.5252,0.6014,1.0
2000-10-09,0.8695,94.75,1.5213,0.6006,1.0
2000-10-10,0.8721,94.2,1.5191,0.5992,1.0
2000-10-11,0.872,94.17,1.5109,0.5968,1.0
2000-10-12,0.8648,93.0,1.5115,0.5921,1.0
2000-10-13,0.8627,93.0,1.5067,0.5868,1.0
2000-10-16,0.8511,92.09,1.5122,0.5884,1.0
2000-10-17,0.8496,91.73,1.5123,0.5908,1.0
2000-10-18,0.8525,92.27,1.5086,0.5873,1.0
2000-10-19,0.8411,90.93,1.504,0.5826,1.0
2000-10-20,0.8452,92.06,1.5058,0.5832,1.0
2000-10-23,0.8377,91.0,1.5014,0.576,1.0
